,0
135,3.313354
136,3.355732
137,3.378202
138,3.378718
139,3.355672
140,3.307856
141,3.235197
142,3.13849
143,3.019268
144,2.879555
145,2.719487
146,2.537803
147,2.334468
148,2.110368
149,1.869748
150,1.619181
151,1.363951
152,1.106799
153,0.8483488
154,0.5874187
155,0.3255065
156,0.06603087
157,-0.1876933
158,-0.4325642
159,-0.6662223
160,-0.886958
161,-1.093392
162,-1.284456
163,-1.459428
164,-1.617881
165,-1.760154
166,-1.88716
167,-2.000671
168,-2.102858
169,-2.196133
170,-2.280327
171,-2.35388
172,-2.41428
173,-2.460873
174,-2.494427
175,-2.516642
176,-2.529852
177,-2.535527
178,-2.534435
179,-2.528014
180,-2.518143
181,-2.506174
182,-2.493034
183,-2.477716
184,-2.45784
185,-2.431475
186,-2.397102
187,-2.354525
188,-2.304542
189,-2.248219
190,-2.186774
191,-2.120766
192,-2.048168
193,-1.972805
194,-1.8981
195,-1.82562
196,-1.755598
197,-1.689253
198,-1.628485
199,-1.575531
200,-1.53279
201,-1.502269
202,-1.48559
203,-1.484371
204,-1.500139
205,-1.533222
206,-1.583024
207,-1.647898
208,-1.72546
209,-1.81293
210,-1.907319
211,-2.005006
212,-2.102029
213,-2.195436
214,-2.283137
215,-2.362768
216,-2.431859
217,-2.488324
218,-2.530453
219,-2.557491
220,-2.568475
221,-2.566616
222,-2.554739
223,-2.534274
224,-2.505583
225,-2.468874
226,-2.424247
227,-2.371347
228,-2.309509
229,-2.24093
230,-2.169855
231,-2.101358
232,-2.040925
233,-1.991588
234,-1.954431
235,-1.928897
236,-1.911077
237,-1.901181
238,-1.900897
239,-1.91147
240,-1.934636
241,-1.971826
242,-2.024169
243,-2.090915
244,-2.169926
245,-2.25926
246,-2.357183
247,-2.462203
248,-2.573063
249,-2.688062
250,-2.805237
251,-2.921854
252,-3.034724
253,-3.140561
254,-3.236156
255,-3.318113
256,-3.383078
257,-3.42824
258,-3.451326
259,-3.451342
260,-3.428302
261,-3.383639
262,-3.319794
263,-3.237106
264,-3.134354
265,-3.012828
266,-2.877117
267,-2.72655
268,-2.562241
269,-2.385667
270,-2.198548
271,-2.003068
272,-1.801686
273,-1.596017
274,-1.386991
275,-1.175722
276,-0.963418
277,-0.7513683
278,-0.5408765
279,-0.3326237
280,-0.1268049
281,0.07653014
282,0.2774416
283,0.4763679
284,0.6740093
285,0.8697172
286,1.061866
287,1.249744
288,1.433345
289,1.61092
290,1.779497
291,1.938111
292,2.087329
293,2.228069
294,2.361478
295,2.487819
296,2.606692
297,2.716584
298,2.815211
299,2.901705
300,2.977536
301,3.040385
302,3.0893
303,3.12183
304,3.137763
305,3.138529
306,3.123987
307,3.094871
308,3.052552
309,2.9971
310,2.927637
311,2.844658
312,2.749673
313,2.64403
314,2.528924
315,2.406079
316,2.277556
317,2.143199
318,2.001221
319,1.850604
320,1.690958
321,1.523321
322,1.34976
323,1.172653
324,0.994527
325,0.8167942
326,0.639994
327,0.4663429
328,0.299214
329,0.1390168
330,-0.01605362
331,-0.1660014
332,-0.309499
333,-0.4446859
334,-0.569383
335,-0.6823747
336,-0.7832129
337,-0.8732858
338,-0.9553012
339,-1.031447
340,-1.0989
341,-1.156144
342,-1.201619
343,-1.23462
344,-1.255109
345,-1.26359
346,-1.260964
347,-1.247633
348,-1.223624
349,-1.190237
350,-1.149678
351,-1.102731
352,-1.049102
353,-0.9884136
354,-0.9202565
355,-0.8451171
356,-0.7641389
357,-0.6780592
358,-0.5872964
359,-0.4919017
360,-0.3916523
361,-0.2870217
362,-0.1789812
363,-0.06804944
364,0.04675973
365,0.1658522
366,0.2895154
367,0.4168043
368,0.5453247
369,0.672596
370,0.7977432
371,0.9232838
372,1.048333
373,1.17091
374,1.28829
375,1.399449
376,1.504663
377,1.604035
